tw_type,id,user,in_reply_to_status_id,in_reply_to_user_id,sentiment
reply,1242399228661555201,1241657434818727938,1242398432217751553,1241657434818727938,-1.0379
reply,1242399229605220352,402589880,1242079414223069184,499258640,-0.3363
reply,1242399234231431169,1180260313242800128,1242395293364047873,728840770090729473,0.1871
reply,1242399238845325312,1005797022757277697,1242296014633086976,25073877,-0.3787
reply,1242399246990471168,1182947209,1242399245681881088,1182947209,-1.8743
reply,1242399255303614464,272213602,1242265319428759553,14190948,-1.2678
reply,1242399259124797441,1156135802864361474,1242395366852567041,1010202103279706113,1.0225
reply,1242399268075438081,1068503600,1242359420157386752,960355120176345089,-1.7788
reply,1242399275616616452,23405865,1242333541574180865,23405865,0.8247
reply,1242399276405108737,1203662485603020801,1242397089625042944,1203662485603020801,-0.5876
reply,1242399279957843968,2885473660,1242395805153136640,99564663,-1.2464
reply,1242399280171802624,1471888548,1242397422355169281,47119606,0.7730
reply,1242399283065823233,818172523535859712,1242396656303300610,818172523535859712,-1.2085
reply,1242399292590936064,945587249906794496,1242382775287599105,945587249906794496,0.6408
reply,1242399292846788609,312411355,1242399192594575360,312411355,0.7420
reply,1242399293014593537,179805241,1242399153491079173,179805241,1.8694
reply,1242399293081825280,295897727,1242381883620679680,1101247689696649216,0.0641
reply,1242399297393451008,200554117,1242329223680815105,186441519,-1.0309
reply,1242399297229828096,974762470068822016,1242089788766814212,123109597,-1.9730
reply,1242399301155917824,395356171,1242353151015034880,91581387,0.0520
reply,1242399309439602688,1085851244680351745,1242399306784608256,1085851244680351745,1.0020
reply,1242399309485793283,701552634,1242398866529488896,979854048525520896,-1.7497
reply,1242399309498376194,275951571,1242200226032738306,16364240,1.9546
reply,1242399309812785157,1218696301602197505,1242394528050376704,268528079,1.5979
reply,1242399314133090306,1053551944743223296,1242396824129814528,1183694592433983489,1.4156
reply,1242399317891088384,109280332,1242392807509233664,109280332,-0.0980
reply,1242399322454491136,320741770,1242371775817830401,320741770,1.0266
reply,1242399322475565060,3207714171,1242331068059000832,82478716,1.9459
reply,1242399322454409216,192986583,1242288379561041920,262412308,1.2099
reply,1242399322521640961,2313366979,1242396886331535363,2313366979,0.4505
reply,1242399322366451712,3304399187,1242348136242319361,1183529393756475393,1.6332
reply,1242399326246182912,991472195795935232,1242210370267348993,49682880,1.6242
reply,1242399326455955456,849711345264209920,1242376233721245696,1195430251683352576,-1.7072
reply,1242399326426533888,939894186412789760,1242378984916234240,355408966,0.9298
reply,1242399330381815808,365210253,1242179611582136328,269837440,-1.1556
reply,1242399334395604993,570537080,1242376412658413568,1194253393889333249,0.8966
reply,1242399342943764481,4026460395,1242266670976110597,1206552976854323200,0.2731
reply,1242399343203815424,362022429,1242398934347153411,356299886,0.6106
reply,1242399343602270208,219768802,1242387759098200064,28436011,-1.5254
reply,1242399347259498497,2550045690,1242398403293638658,304224469,-0.6933
reply,1242399347448283136,1241946720029667328,1242394374224392192,25073877,1.4637
reply,1242399351420280833,995749554476630021,1235146040539402240,110312278,1.2986
reply,1242399359402041346,217112314,1242399357200027649,217112314,0.4463
reply,1242399363860762624,1241722766925205505,1242357957414789124,1190628114554114048,1.2622
reply,1242399368289935360,1194572607925960704,1242399268415180800,1194572607925960704,0.7537
reply,1242399368646279168,217112314,1242399366704271360,217112314,1.2517
reply,1242399372379332608,914910704,1242358789661229056,894567745655902209,-0.8166
reply,1242399372966539264,402589880,1242094147357597699,1155866062367461376,-0.5656
reply,1242399372270112768,217112314,1242399371116736513,217112314,-0.0748
reply,1242399376435281920,452877328,1242399016022769664,1321029128,0.8438
reply,1242399376556863490,132490359,1242366258391273472,2796089361,-1.6189
reply,1242399380595855361,346696663,1157893160548229120,100737960,-0.4424
reply,1242399385293434880,1217359557850058752,1242399026911182849,1217359557850058752,-1.5822
reply,1242399392570671104,1209467745110245376,1240853562239913984,1209467745110245376,-0.5494
reply,1242399393401225216,1635525948,1242376722294718465,6134882,-0.0540
reply,1242399393527070723,367208625,1242262981829951488,216646024,-1.2719
reply,1242399397994016769,2884227712,1242390687112474625,457581440,-1.1949
reply,1242399401752113152,21895559,1242163405240373248,176644153,-1.2602
reply,1242399405744979968,53053484,1242242205932310535,2800581040,-0.8099
reply,1242399405845680128,36353564,1242399403090075648,36353564,1.1443
reply,1242399410107097088,449971279,1242365487259975683,2152572284,0.4057
reply,1242399410509709313,402712259,1242382942997032960,461370816,0.8281
reply,1242399414905438208,578389906,1242290038928560128,14436030,0.6597
reply,1242399415010123776,945587249906794496,1242399292590936064,945587249906794496,1.0865
reply,1242399422673309696,20763907,1242399421393965056,20763907,-1.3189
reply,1242399423193329664,36608895,1242394492277268483,994583943675629568,1.8091
reply,1242399426523660289,242078217,1242383713519927297,491461409,-0.3890
reply,1242399426787913728,971409602091864067,1242240709467537411,910278157315567616,-0.1312
reply,1242399427215663104,1023581694132150277,1242399391652237312,1023581694132150277,-0.3372
reply,1242399427215712259,1122509466606481416,1242389150168420352,49411634,-0.3971
reply,1242399427253264384,1199827603240017920,1242293340151873536,25073877,1.7945
reply,1242399430994563073,157923213,1242396278106902529,366987179,1.5750
